STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_fo,Forestry indicators,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,BE,Belgium,2018,,22.5,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,BE,Belgium,2019,,22.5,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,BE,Belgium,2020,,22.5,,p,provisional,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,BE,Belgium,2021,,22.5,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,BE,Belgium,2022,,22.5,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,BG,Bulgaria,2015,,34.5,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,BG,Bulgaria,2016,,34.6,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,BG,Bulgaria,2017,,34.7,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,BG,Bulgaria,2018,,34.9,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,BG,Bulgaria,2019,,34.9,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,BG,Bulgaria,2020,,35.1,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,BG,Bulgaria,2021,,35.1,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,BG,Bulgaria,2022,,35.2,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,CH,Switzerland,2015,,30.3,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,CH,Switzerland,2016,,30.4,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,CH,Switzerland,2017,,30.5,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,CH,Switzerland,2018,,30.6,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,CH,Switzerland,2019,,30.7,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,CH,Switzerland,2020,,30.7,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,CY,Cyprus,2015,,18.7,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,CY,Cyprus,2016,,18.7,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,CY,Cyprus,2017,,18.7,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,CY,Cyprus,2018,,18.6,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,CY,Cyprus,2019,,18.6,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,CY,Cyprus,2020,,18.6,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,CY,Cyprus,2021,,18.6,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,CY,Cyprus,2022,,18.6,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,CZ,Czechia,2015,,33.8,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,CZ,Czechia,2016,,33.9,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,CZ,Czechia,2017,,33.9,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,CZ,Czechia,2018,,33.9,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,CZ,Czechia,2019,,33.9,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,CZ,Czechia,2020,,33.9,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,CZ,Czechia,2021,,34,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,CZ,Czechia,2022,,34,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,DE,Germany,2015,,32,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,DE,Germany,2016,,32,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,DE,Germany,2017,,32,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,DE,Germany,2018,,32,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,DE,Germany,2019,,32,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,DE,Germany,2020,,32.1,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,DE,Germany,2021,,32.1,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,DE,Germany,2022,,32.1,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,DK,Denmark,2015,,14.9,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,DK,Denmark,2016,,14.9,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,DK,Denmark,2017,,14.9,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,DK,Denmark,2018,,14.9,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,DK,Denmark,2019,,14.9,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,DK,Denmark,2020,,14.6,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,DK,Denmark,2021,,14.6,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,DK,Denmark,2022,,14.6,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,EE,Estonia,2015,,53.4,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,EE,Estonia,2016,,53.4,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,EE,Estonia,2017,,53.8,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,EE,Estonia,2018,,53.8,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,EE,Estonia,2019,,53.8,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,EE,Estonia,2020,,53.8,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,EE,Estonia,2021,,53.8,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,EE,Estonia,2022,,53.8,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,EL,Greece,2015,,29.6,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,EL,Greece,2016,,29.6,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,EL,Greece,2017,,29.6,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,EL,Greece,2018,,29.6,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,EL,Greece,2019,,29.6,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,EL,Greece,2020,,29.6,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,EL,Greece,2021,,29.6,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,EL,Greece,2022,,29.6,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,ES,Spain,2015,,36.7,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,ES,Spain,2016,,36.7,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,ES,Spain,2017,,36.7,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,ES,Spain,2018,,36.7,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,ES,Spain,2019,,36.7,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,ES,Spain,2020,,36.7,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,ES,Spain,2021,,36.7,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,ES,Spain,2022,,36.7,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2015,,38.3,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2016,,38.3,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2017,,38.4,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2018,,38.4,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2019,,38.5,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2020,,38.6,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2021,,38.6,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,EU27_2020,European Union - 27 countries (from 2020),2022,,38.7,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,FI,Finland,2015,,66.2,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,FI,Finland,2016,,66.2,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,FI,Finland,2017,,66.2,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,FI,Finland,2018,,66.2,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,FI,Finland,2019,,66.2,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,FI,Finland,2020,,66.2,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,FI,Finland,2021,,66.2,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,FI,Finland,2022,,66.2,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,FR,France,2015,,30.6,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,FR,France,2016,,30.7,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,FR,France,2017,,30.9,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,FR,France,2018,,31.1,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,FR,France,2019,,31.5,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,FR,France,2020,,31.8,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,FR,France,2021,,32.1,,ep,"estimated, provisional",,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,FR,France,2022,,32.2,,ep,"estimated, provisional",,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,HR,Croatia,2015,,34,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,HR,Croatia,2016,,34,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,HR,Croatia,2017,,34.1,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,HR,Croatia,2018,,34.2,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,HR,Croatia,2019,,34.3,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,HR,Croatia,2020,,34.3,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,HR,Croatia,2021,,34.3,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,HR,Croatia,2022,,34.3,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,HU,Hungary,2015,,22.2,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,HU,Hungary,2016,,22.1,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,HU,Hungary,2017,,22.1,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,HU,Hungary,2018,,22.1,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,HU,Hungary,2019,,22.1,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,HU,Hungary,2020,,22.1,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,HU,Hungary,2021,,22.2,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,HU,Hungary,2022,,22.3,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,IE,Ireland,2015,,10.8,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,IE,Ireland,2016,,10.9,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,IE,Ireland,2017,,11,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,IE,Ireland,2018,,11.1,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,IE,Ireland,2019,,11.3,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,IE,Ireland,2020,,11.4,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,IE,Ireland,2021,,11.6,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,IE,Ireland,2022,,11.6,,,,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,IT,Italy,2015,,30.8,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,IT,Italy,2016,,31,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,IT,Italy,2017,,31.1,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,IT,Italy,2018,,31.3,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,IT,Italy,2019,,31.5,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,IT,Italy,2020,,31.7,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,IT,Italy,2021,,31.8,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,IT,Italy,2022,,31.8,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LI,Liechtenstein,2015,,41.9,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LI,Liechtenstein,2016,,41.9,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,LI,Liechtenstein,2017,,41.9,,i,value imputed by Eurostat or other receiving agencies,,
